,model,file_name,linguistics_term,UID,score
0,xlm-roberta-large,moved_filler_zh_0.json,moved_filler_zh,moved_filler_zh_0,0.685064935064935
1,xlm-roberta-large,moved_filler_zh_1.json,moved_filler_zh,moved_filler_zh_1,0.6915584415584416
2,xlm-roberta-large,moved_filler_zh_2.json,moved_filler_zh,moved_filler_zh_2,0.6915584415584416
3,xlm-roberta-large,moved_filler_zh_3.json,moved_filler_zh,moved_filler_zh_3,0.685064935064935
4,xlm-roberta-large,moved_filler_zh_4.json,moved_filler_zh,moved_filler_zh_4,0.6655844155844156
5,xlm-roberta-large,moved_filler_zh_5.json,moved_filler_zh,moved_filler_zh_5,0.698051948051948
6,xlm-roberta-large,moved_filler_zh_6.json,moved_filler_zh,moved_filler_zh_6,0.6818181818181818
7,xlm-roberta-large,moved_filler_zh_7.json,moved_filler_zh,moved_filler_zh_7,0.7012987012987013
8,xlm-roberta-large,moved_filler_zh_8.json,moved_filler_zh,moved_filler_zh_8,0.7142857142857143
9,xlm-roberta-large,moved_filler_zh_9.json,moved_filler_zh,moved_filler_zh_9,0.6785714285714286
10,xlm-roberta-large,moved_pause_zh_0.json,moved_pause_zh,moved_pause_zh_0,0.714
11,xlm-roberta-large,moved_pause_zh_1.json,moved_pause_zh,moved_pause_zh_1,0.71
12,xlm-roberta-large,moved_pause_zh_2.json,moved_pause_zh,moved_pause_zh_2,0.684
13,xlm-roberta-large,moved_pause_zh_3.json,moved_pause_zh,moved_pause_zh_3,0.688
14,xlm-roberta-large,moved_pause_zh_4.json,moved_pause_zh,moved_pause_zh_4,0.696
15,xlm-roberta-large,moved_pause_zh_5.json,moved_pause_zh,moved_pause_zh_5,0.696
16,xlm-roberta-large,moved_pause_zh_6.json,moved_pause_zh,moved_pause_zh_6,0.69
17,xlm-roberta-large,moved_pause_zh_7.json,moved_pause_zh,moved_pause_zh_7,0.702
18,xlm-roberta-large,moved_pause_zh_8.json,moved_pause_zh,moved_pause_zh_8,0.75
19,xlm-roberta-large,moved_pause_zh_9.json,moved_pause_zh,moved_pause_zh_9,0.724
20,xlm-roberta-large,moved_rep_zh_0.json,moved_rep_zh,moved_rep_zh_0,0.552
21,xlm-roberta-large,moved_rep_zh_1.json,moved_rep_zh,moved_rep_zh_1,0.57
22,xlm-roberta-large,moved_rep_zh_2.json,moved_rep_zh,moved_rep_zh_2,0.472
23,xlm-roberta-large,moved_rep_zh_3.json,moved_rep_zh,moved_rep_zh_3,0.526
24,xlm-roberta-large,moved_rep_zh_4.json,moved_rep_zh,moved_rep_zh_4,0.532
25,xlm-roberta-large,moved_rep_zh_5.json,moved_rep_zh,moved_rep_zh_5,0.542
26,xlm-roberta-large,moved_rep_zh_6.json,moved_rep_zh,moved_rep_zh_6,0.534
27,xlm-roberta-large,moved_rep_zh_7.json,moved_rep_zh,moved_rep_zh_7,0.536
28,xlm-roberta-large,moved_rep_zh_8.json,moved_rep_zh,moved_rep_zh_8,0.53
29,xlm-roberta-large,moved_rep_zh_9.json,moved_rep_zh,moved_rep_zh_9,0.54
30,xlm-roberta-large,replaced_filler_zh_0.json,replaced_filler_zh,replaced_filler_zh_0,0.44805194805194803
31,xlm-roberta-large,replaced_filler_zh_1.json,replaced_filler_zh,replaced_filler_zh_1,0.474025974025974
32,xlm-roberta-large,replaced_filler_zh_2.json,replaced_filler_zh,replaced_filler_zh_2,0.4383116883116883
33,xlm-roberta-large,replaced_filler_zh_3.json,replaced_filler_zh,replaced_filler_zh_3,0.4318181818181818
34,xlm-roberta-large,replaced_filler_zh_4.json,replaced_filler_zh,replaced_filler_zh_4,0.4318181818181818
35,xlm-roberta-large,replaced_filler_zh_5.json,replaced_filler_zh,replaced_filler_zh_5,0.4642857142857143
36,xlm-roberta-large,replaced_filler_zh_6.json,replaced_filler_zh,replaced_filler_zh_6,0.4675324675324675
37,xlm-roberta-large,replaced_filler_zh_7.json,replaced_filler_zh,replaced_filler_zh_7,0.4448051948051948
38,xlm-roberta-large,replaced_filler_zh_8.json,replaced_filler_zh,replaced_filler_zh_8,0.4253246753246753
39,xlm-roberta-large,replaced_filler_zh_9.json,replaced_filler_zh,replaced_filler_zh_9,0.44155844155844154
40,xlm-roberta-large,replaced_pause_zh_0.json,replaced_pause_zh,replaced_pause_zh_0,0.674
41,xlm-roberta-large,replaced_pause_zh_1.json,replaced_pause_zh,replaced_pause_zh_1,0.678
42,xlm-roberta-large,replaced_pause_zh_2.json,replaced_pause_zh,replaced_pause_zh_2,0.68
43,xlm-roberta-large,replaced_pause_zh_3.json,replaced_pause_zh,replaced_pause_zh_3,0.68
44,xlm-roberta-large,replaced_pause_zh_4.json,replaced_pause_zh,replaced_pause_zh_4,0.708
45,xlm-roberta-large,replaced_pause_zh_5.json,replaced_pause_zh,replaced_pause_zh_5,0.684
